,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
3,Barrow,US,-7.58,clear sky,71.2906,-156.7887,King Eider Inn
15,Tuktoyaktuk,CA,-5.96,overcast clouds,69.4541,-133.0374,End of The Road Ltd.
18,Nikolskoye,RU,24.69,overcast clouds,59.7035,30.7861,Tourist House - Sablino
20,Berlevag,NO,28.04,overcast clouds,70.8578,29.0864,Kvitbrakka
45,Narsaq,GL,21.42,broken clouds,60.9167,-46.05,Sleep In Narsaq
49,Kars,TR,13.05,clear sky,40.602,43.095,Kars Otel
51,Soloneshnoye,RU,26.89,overcast clouds,51.6544,84.3197,Gostinitsa Al'tair
53,Fairbanks,US,-6.9,light snow,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
62,Aksarka,RU,-11.52,broken clouds,66.5606,67.7975,
66,Norman Wells,CA,-1.53,overcast clouds,65.282,-126.8329,Heritage Hotel
69,Bichura,RU,17.2,scattered clouds,50.5881,107.6022,Gostinitsa Uyut
75,Kodiak,US,9.91,few clouds,57.79,-152.4072,Best Western Kodiak Inn And Convention Center
77,Thompson,CA,-5.64,overcast clouds,55.7435,-97.8558,Burntwood Hotel
82,Ulaanbaatar,MN,6.93,few clouds,47.9077,106.8832,The Blue Sky Hotel and Tower
86,Clyde River,CA,-17.18,scattered clouds,70.4692,-68.5914,Qamaq Hotel
94,Qaanaaq,GL,-1.37,clear sky,77.484,-69.3632,Qaanaaq Hotel
95,Burns Lake,CA,23.11,overcast clouds,54.2331,-125.7533,Burns Lake Bed and Breakfast
105,Kushmurun,KZ,7.92,few clouds,52.4503,64.6311,Gostinitsa Pri Depo
110,Oga,IT,15.69,overcast clouds,46.4631,10.347,QC Terme Bagni di Bormio Bagni Nuovi
112,Abdulino,RU,11.57,clear sky,53.7,53.6667,Hotel Lazur
119,Aklavik,CA,-0.96,overcast clouds,68.2191,-135.0107,Aklavik Inn
124,Derzhavinsk,KZ,11.8,overcast clouds,51.1,66.3167,Ooo.khim Baza
126,Ilulissat,GL,19.42,overcast clouds,69.2167,-51.1,Hotel Arctic
131,Bulgan,MN,18.3,few clouds,48.8125,103.5347,Unitel Булган салбар
147,Sault Sainte Marie,CA,28.69,clear sky,46.5168,-84.3333,Comfort Inn
151,Kyren,RU,25.16,overcast clouds,51.6828,102.1408,"Energetik, Pansionat Ooo ""Grand Baykal"""
155,Sioux Lookout,CA,15.49,scattered clouds,50.1001,-91.917,Knobby's Fly-In Camps
157,Pemberton,CA,23.56,overcast clouds,50.3164,-122.8027,Pemberton Valley Lodge
162,Pudozh,RU,10.0,overcast clouds,61.8099,36.5345,Guest-House na Transportnoy
171,Onega,RU,18.91,overcast clouds,63.9061,38.1404,Lunny Kot Guest House
178,Tiksi,RU,-18.53,overcast clouds,71.6872,128.8694,Arktika
183,Puteyets,RU,17.87,overcast clouds,65.1716,57.091,"Sot ""Agrarnik"""
188,Yellowknife,CA,10.42,light snow,62.456,-114.3525,The Explorer Hotel
195,Provideniya,RU,-8.88,clear sky,64.3833,-173.3,
197,Koslan,RU,12.34,overcast clouds,63.4564,48.8989,
201,College,US,-7.94,light snow,64.8569,-147.8028,Pike's Waterfront Lodge
205,Lavrentiya,RU,-13.32,clear sky,65.5833,-171.0,
209,Kataysk,RU,10.76,few clouds,56.289,62.5841,Prival
221,Saint Anthony,US,25.14,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
229,Nanortalik,GL,24.4,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
232,Lev Tolstoy,RU,20.55,broken clouds,53.2134,39.446,Gostinitsa
242,La Ronge,CA,8.06,overcast clouds,55.1001,-105.2842,Northland Motor Hotel
260,Blagoyevo,RU,12.94,overcast clouds,63.3667,47.9167,
261,Shakhty,RU,29.82,scattered clouds,47.7091,40.2144,"Kuzbass, Hotel"
264,Baykit,RU,0.28,overcast clouds,61.67,96.37,
270,Urengoy,RU,-7.83,overcast clouds,65.9667,78.3667,Gostinnitsa Medveditsa
272,Price,US,21.11,clear sky,39.5994,-110.8107,National 9 - Price River Inn
273,Zelenoborsk,RU,17.94,overcast clouds,61.4669,64.0333,
287,Spas-Demensk,RU,29.61,overcast clouds,54.4122,34.0226,
291,Nizhniy Tsasuchey,RU,11.91,few clouds,50.5167,115.1333,
294,Yar-Sale,RU,-2.74,overcast clouds,66.8333,70.8333,Yalemd
297,Novyy Urengoy,RU,-10.48,overcast clouds,66.0833,76.6333,Apartments Moy Dom na Gubkina
306,Pangnirtung,CA,-10.14,clear sky,66.1451,-65.7125,Kilabuk Lodge
307,Sangar,RU,-11.83,overcast clouds,63.9242,127.4739,
308,Dikson,RU,-13.63,overcast clouds,73.5069,80.5464,
317,Ayagoz,KZ,18.93,overcast clouds,47.9714,80.4392,Gostinitsa Nur
324,Bobrovka,RU,11.5,clear sky,54.047,61.7455,
329,Saint-Augustin,CA,28.17,light snow,51.226,-58.6502,
334,Nome,US,-7.53,clear sky,64.5011,-165.4064,Dredge 7 Inn
337,Tilichiki,RU,-11.6,broken clouds,60.4667,166.1,
346,Yerbogachen,RU,-4.13,overcast clouds,61.2767,108.0108,
348,Nuuk,GL,23.61,broken clouds,64.1835,-51.7216,Vandrehuset
350,Baruun-Urt,MN,12.31,clear sky,46.6806,113.2792,Ахмадын амралт сувилал
353,Qaqortoq,GL,21.7,broken clouds,60.7167,-46.0333,Siniffik Inn
360,Gryazi,RU,23.61,scattered clouds,52.4966,39.9359,Гостиница Ника
372,Agapovka,RU,10.96,few clouds,53.2973,59.1348,Gostinitsa Zhkkh
377,Kiruna,SE,16.72,light snow,67.8557,20.2251,Camp Ripan
378,Yekaterinovka,RU,19.47,broken clouds,52.0508,44.3451,Gostinitsa
380,Severnoye,RU,2.26,few clouds,56.3491,78.3619,Gostinitsa Severyanka
387,Liaoyang,CN,25.12,clear sky,41.2719,123.1731,Jinjiang Inn Style Liaoyang Xiangyu Avenue
389,Muhos,FI,27.7,overcast clouds,64.808,25.9931,Montta - active camping / campsite Montan
393,Paamiut,GL,22.64,overcast clouds,61.994,-49.6678,Pistut
397,Klyuchi,RU,15.66,overcast clouds,52.2667,79.1667,Vesolaya Mayovka
399,Hay River,CA,4.3,overcast clouds,60.8156,-115.7999,Ptarmigan Inn
423,Bukachacha,RU,0.61,scattered clouds,52.9833,116.9167,
428,Kindersley,CA,18.34,scattered clouds,51.4668,-109.1682,Kindersley Inn
429,Fort Nelson,CA,-4.94,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
440,Xining,CN,25.57,few clouds,36.6167,101.7667,Super Leisure Hotel
452,Balagansk,RU,13.53,overcast clouds,54.0103,103.0544,
454,Kachug,RU,13.82,overcast clouds,53.9606,105.8817,"The hotel ""Empire"""
464,Darhan,MN,13.1,few clouds,49.4867,105.9228,Buudai Hotel
466,Shellbrook,CA,19.31,broken clouds,53.2168,-106.4011,Shellbrook Hotel
473,Upernavik,GL,3.69,overcast clouds,72.7868,-56.1549,Gina's Guesthouse - Upernavik
480,Evensk,RU,6.01,overcast clouds,61.95,159.2333,
481,Hearst,CA,18.21,few clouds,49.6835,-83.6665,Companion
482,Yumen,CN,28.08,clear sky,40.2833,97.2,
489,Olga,RU,26.56,scattered clouds,43.7444,135.2892,Gostinitsa Rosmorport.
490,North Battleford,CA,19.0,broken clouds,52.7834,-108.2847,Tropical Inn
498,Zalari,RU,14.63,overcast clouds,53.5584,102.5065,"""Belyye Rosy"""
501,Duluth,US,25.61,clear sky,46.7833,-92.1066,South Pier Inn
508,Iqaluit,CA,-4.31,broken clouds,63.7506,-68.5145,Frobisher Inn
519,Ubinskoye,RU,2.53,overcast clouds,55.3068,79.6802,Gostinitsa Siberia
522,Komsomolets,KZ,10.09,clear sky,53.7453,62.0708,Avtostoyanka
523,Bollnas,SE,28.38,overcast clouds,61.3482,16.3946,Grand Hotel
528,Chapais,CA,22.78,light snow,49.7834,-74.8492,Hôtel Opémiska
533,Okhotsk,RU,2.89,overcast clouds,59.3833,143.3,
545,Leshukonskoye,RU,12.31,overcast clouds,64.8989,45.7622,Pryalitsa Hostel
550,Aqtobe,KZ,17.69,clear sky,50.2797,57.2072,"Gostinitsa ""Ilek"" G. Aktobe"
555,Haines Junction,CA,-0.49,overcast clouds,60.7522,-137.5108,Parkside Inn
556,Kurumkan,RU,0.45,light snow,54.3,110.3,Ilikchin
558,Vardo,NO,28.69,light snow,70.3705,31.1107,Vardø Hotel AS
560,Kuloy,RU,6.12,overcast clouds,61.0305,42.4925,
576,Chebsara,RU,4.33,scattered clouds,59.2002,38.8356,
586,Kondinskoye,RU,10.99,broken clouds,59.6481,67.41,Gostinitsa
587,Homer,US,17.47,clear sky,59.6425,-151.5483,Beluga Lake Lodge
590,Markova,UA,29.79,snow,48.6758,24.4138,Vas.VOM
593,Krasnoselkup,RU,-16.87,broken clouds,65.7,82.4667,Krasnosel'kupnefteprodukt
612,Nyrob,RU,-12.77,overcast clouds,60.733,56.7202,Gostinitsa
620,Ostrovnoy,RU,20.5,overcast clouds,68.0531,39.5131,
621,Atbasar,KZ,9.05,overcast clouds,51.8,68.3333,Гостиничный Комплекс Saad
622,Ust-Tsilma,RU,12.65,broken clouds,65.441,52.1498,U Praskov'i
624,Naryan-Mar,RU,19.98,light snow,67.6713,53.087,Hostel Agat
629,Korla,CN,27.03,clear sky,41.7597,86.1469,Gulisitan Hotel
631,Tabory,RU,14.04,broken clouds,58.5198,64.5495,
632,Maniitsoq,GL,19.56,overcast clouds,65.4167,-52.9,Hotel Heilmann Lyberth
633,Kamenka,RU,22.75,broken clouds,51.3223,42.7678,
634,Shatsk,RU,19.89,broken clouds,54.0258,41.7119,Turist
639,Polyarnyye Zori,RU,19.9,light snow,67.3661,32.4981,Khostiel
640,Hegang,CN,15.55,overcast clouds,47.4,130.3667,
651,Raduzhnyy,RU,-8.9,broken clouds,62.0961,77.475,Gostiny Dvor Evgeniya
653,Mordovo,RU,25.07,broken clouds,52.0834,40.77,Dom Kul'tury
655,Chukhloma,RU,8.69,broken clouds,58.7525,42.6825,Berezka
656,Zalantun,CN,12.6,clear sky,48.0,122.7167,GreenTree Alliance Hulunbeier Zhalantun Railway Station Hotel
662,La Crosse,US,27.37,clear sky,43.8014,-91.2396,Holiday Inn & Suites La Crosse - Downtown
