,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Ferrol,ES,43.4832,-8.2369,53.67,86,76,5.84,broken clouds
1,Busselton,AU,-33.65,115.3333,71.91,33,16,10.6,few clouds
2,Rikitea,PF,-23.1203,-134.9692,75.85,80,67,12.19,light rain
3,Barrow,US,71.2906,-156.7887,-7.58,84,1,9.22,clear sky
4,Sitka,US,57.0531,-135.33,35.49,64,90,17.27,light rain
5,Varadero,CU,23.1536,-81.2514,74.16,82,5,11.12,clear sky
6,Mataura,NZ,-46.1927,168.8643,55.47,45,0,4.14,clear sky
7,The Valley,AI,18.217,-63.0578,80.1,74,3,23.6,clear sky
8,Banda Aceh,ID,5.5577,95.3222,86.7,60,22,11.95,few clouds
9,Grand Gaube,MU,-20.0064,57.6608,83.37,60,47,11.99,scattered clouds
10,Marzuq,YE,14.4,46.4667,61.95,36,0,5.93,clear sky
11,Port Moresby,PG,-9.4431,147.1797,83.68,75,100,12.8,overcast clouds
12,Alibag,IN,18.6411,72.8792,86.07,50,30,7.56,scattered clouds
13,Punta Arenas,CL,-53.15,-70.9167,48.31,87,0,9.22,clear sky
14,Hermanus,ZA,-34.4187,19.2345,63.9,69,100,1.01,overcast clouds
15,Tuktoyaktuk,CA,69.4541,-133.0374,-5.96,92,100,11.03,overcast clouds
16,Severo-Kurilsk,RU,50.6789,156.125,32.86,97,100,21.54,snow
17,New Norfolk,AU,-42.7826,147.0587,66.88,40,2,1.99,clear sky
18,Nikolskoye,RU,59.7035,30.7861,24.69,93,100,7.05,overcast clouds
19,Hambantota,LK,6.1241,81.1185,82.74,89,40,6.91,scattered clouds
20,Berlevag,NO,70.8578,29.0864,28.04,82,100,12.12,overcast clouds
21,Salta,AR,-24.7859,-65.4117,66.49,84,12,1.99,few clouds
22,Mayo,US,38.8876,-76.5119,48.42,57,20,17.0,few clouds
23,Padre Bernardo,BR,-15.35,-48.5,68.25,97,60,1.61,broken clouds
24,Victoria,HK,22.2855,114.1577,75.38,69,0,8.01,clear sky
25,Hilo,US,19.7297,-155.09,73.27,46,40,3.44,light rain
26,Leningradskiy,RU,69.3833,178.4167,-32.06,94,32,5.3,scattered clouds
27,Hami,CN,42.8,93.45,30.34,27,0,5.06,clear sky
28,Airai,TL,-8.9266,125.4092,68.83,84,74,0.72,broken clouds
29,Reyes,BO,-14.3167,-67.3833,73.49,96,100,2.13,overcast clouds
30,Lavaltrie,CA,45.8834,-73.2824,41.07,73,98,28.39,overcast clouds
31,Ushuaia,AR,-54.8,-68.3,47.86,87,75,6.91,broken clouds
32,Torbay,CA,47.6666,-52.7314,38.75,96,100,1.01,light rain
33,Sambava,MG,-14.2667,50.1667,81.0,65,99,10.22,overcast clouds
34,Kudahuvadhoo,MV,2.6708,72.8944,80.47,77,99,17.07,overcast clouds
35,Bluff,NZ,-46.6,168.3333,55.8,66,1,18.3,clear sky
36,Vila Franca Do Campo,PT,37.7167,-25.4333,66.2,89,100,17.65,overcast clouds
37,Taunggyi,MM,20.7833,97.0333,73.67,45,16,4.61,few clouds
38,Kapaa,US,22.0752,-159.319,76.12,78,40,1.01,light rain
39,Jamestown,US,42.097,-79.2353,36.99,81,90,10.0,light snow
40,San Quintin,MX,30.4833,-115.95,56.44,62,0,7.29,clear sky
41,Yaan,NG,7.3833,8.5667,72.77,26,93,4.16,overcast clouds
42,Ponta Do Sol,PT,32.6667,-17.1,64.0,76,61,3.44,broken clouds
43,Tawang,IN,27.5833,91.8667,50.49,38,2,6.58,clear sky
44,Saint-Philippe,RE,-21.3585,55.7679,83.79,75,83,13.49,light rain
45,Narsaq,GL,60.9167,-46.05,21.42,84,69,4.76,broken clouds
46,Carutapera,BR,-1.195,-46.02,78.55,79,22,8.43,few clouds
47,Albany,US,42.6001,-73.9662,44.46,59,100,8.99,overcast clouds
48,Geraldton,AU,-28.7667,114.6,79.21,38,9,21.85,clear sky
49,Kars,TR,40.602,43.095,13.05,92,0,2.3,clear sky
50,Abha,SA,18.2164,42.5053,50.25,46,0,0.0,clear sky
51,Soloneshnoye,RU,51.6544,84.3197,26.89,79,100,1.88,overcast clouds
52,Iwanai,JP,42.9744,140.5089,40.26,95,82,4.56,broken clouds
53,Fairbanks,US,64.8378,-147.7164,-6.9,77,90,4.61,light snow
54,Santa Cruz,BO,-17.8,-63.1667,74.66,94,75,8.05,broken clouds
55,Oistins,BB,13.0667,-59.5333,79.2,79,100,18.19,overcast clouds
56,Pisco,PE,-13.7,-76.2167,64.45,88,0,8.05,clear sky
57,Pevek,RU,69.7008,170.3133,-35.75,97,51,5.68,broken clouds
58,Hasaki,JP,35.7333,140.8333,63.28,57,48,23.06,scattered clouds
59,Senanga,ZM,-16.1167,23.2667,76.64,60,100,6.44,overcast clouds
60,Outjo,NA,-20.1167,16.15,73.83,58,97,10.65,overcast clouds
61,Lagoa,PT,39.05,-27.9833,60.6,70,100,20.92,overcast clouds
62,Aksarka,RU,66.5606,67.7975,-11.52,100,82,3.36,broken clouds
63,Atuona,PF,-9.8,-139.0333,78.89,77,89,17.96,overcast clouds
64,Hobart,AU,-42.8794,147.3294,67.23,54,20,3.0,few clouds
65,Tsiroanomandidy,MG,-18.7667,46.0333,81.84,41,74,4.56,broken clouds
66,Norman Wells,CA,65.282,-126.8329,-1.53,94,100,11.45,overcast clouds
67,Vaini,TO,-21.2,-175.2,80.76,89,40,6.91,light rain
68,Jinka,ET,5.65,36.65,72.84,25,66,4.76,broken clouds
69,Bichura,RU,50.5881,107.6022,17.2,67,45,4.16,scattered clouds
70,Ruidoso,US,33.3317,-105.673,40.1,25,1,5.75,clear sky
71,Saldanha,ZA,-33.0117,17.9442,62.96,78,100,1.97,overcast clouds
72,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.65,92,83,10.85,broken clouds
73,Hithadhoo,MV,-0.6,73.0833,80.83,77,83,11.59,broken clouds
74,Shelburne,CA,44.0787,-80.2041,31.57,90,71,18.41,broken clouds
75,Kodiak,US,57.79,-152.4072,9.91,56,20,43.73,few clouds
76,Opuwo,NA,-18.0607,13.84,73.94,55,44,3.69,scattered clouds
77,Thompson,CA,55.7435,-97.8558,-5.64,84,90,3.44,overcast clouds
78,Tura,IN,25.5198,90.2201,74.43,31,0,1.54,clear sky
79,Gat,IL,31.61,34.7642,67.41,40,82,1.1,broken clouds
80,Camana,PE,-16.6228,-72.7111,67.44,89,99,8.97,overcast clouds
81,Lumeje,AO,-11.55,20.7833,67.93,88,100,0.63,overcast clouds
82,Ulaanbaatar,MN,47.9077,106.8832,6.93,56,17,2.24,few clouds
83,Bucerias,MX,20.75,-105.3333,68.41,76,99,4.14,overcast clouds
84,Avarua,CK,-21.2078,-159.775,77.05,83,100,8.05,overcast clouds
85,Mount Gambier,AU,-37.8333,140.7667,78.71,33,0,9.46,clear sky
86,Clyde River,CA,70.4692,-68.5914,-17.18,96,25,3.89,scattered clouds
87,Muli,MV,2.9167,73.5667,80.31,81,100,18.72,overcast clouds
88,Tshikapa,CD,-6.4167,20.8,73.24,94,100,1.07,overcast clouds
89,Liverpool,GB,53.4106,-2.9779,54.52,90,90,0.0,drizzle
90,Tasiilaq,GL,65.6145,-37.6368,39.36,63,100,27.83,overcast clouds
91,Kavieng,PG,-2.5744,150.7967,83.88,77,100,7.52,light rain
92,Ashta,IN,23.0167,76.7167,73.53,39,0,5.77,clear sky
93,San Sebastian Huehuetenango,GT,15.3833,-91.5833,54.25,80,0,0.43,clear sky
94,Qaanaaq,GL,77.484,-69.3632,-1.37,64,0,6.58,clear sky
95,Burns Lake,CA,54.2331,-125.7533,23.11,86,100,2.46,overcast clouds
96,Bengkulu,ID,-3.8004,102.2655,83.93,68,98,3.74,overcast clouds
97,Saint-Pierre,RE,-21.3393,55.4781,83.88,64,0,5.75,clear sky
98,Bethel,US,41.3712,-73.414,55.76,40,90,19.57,overcast clouds
99,Esperance,AU,-33.8667,121.9,66.04,61,98,18.95,overcast clouds
100,Coahuayana,MX,18.7333,-103.6833,72.37,92,62,3.96,broken clouds
101,Puerto Ayora,EC,-0.7393,-90.3518,68.56,97,100,1.01,overcast clouds
102,Huilong,CN,31.8111,121.655,51.93,63,100,17.36,overcast clouds
103,Lorengau,PG,-2.0226,147.2712,85.59,76,100,11.77,overcast clouds
104,Santa Rosa,PH,14.3122,121.1114,85.1,69,64,16.04,broken clouds
105,Kushmurun,KZ,52.4503,64.6311,7.92,91,20,10.58,few clouds
106,Cape Town,ZA,-33.9258,18.4232,66.09,82,100,4.34,overcast clouds
107,Igarka,RU,67.4667,86.5833,-25.02,91,67,6.38,broken clouds
108,Ribeira Grande,PT,38.5167,-28.7,61.59,70,100,17.98,overcast clouds
109,San Cristobal,VE,7.7669,-72.225,63.09,94,97,2.93,overcast clouds
110,Oga,IT,46.4631,10.347,15.69,96,87,7.67,overcast clouds
111,Longyearbyen,SJ,78.2186,15.6401,33.64,69,75,23.02,light rain
112,Abdulino,RU,53.7,53.6667,11.57,87,6,4.94,clear sky
113,Ancud,CL,-41.8697,-73.8203,48.42,84,87,15.79,light rain
114,Port Alfred,ZA,-33.5906,26.891,69.75,88,100,7.2,light rain
115,Namatanai,PG,-3.6667,152.4333,82.94,78,87,7.83,light rain
116,Harper,LR,4.375,-7.7169,78.13,85,62,2.26,broken clouds
